,theme,start_time,end_time,affected_sectors,severity_ratio,answer_ratio,sources,location,df_index
10,Crecida,2023-10-29,2023-11-03,"['Aguas Residuales', 'Agua y Alimentos', 'Transporte']","{'Transporte': 0.3125, 'Agua y Alimentos': 0.5833333333333334, 'Aguas Residuales': 0.75}","{6: 0.25, 7: 0.25, 8: 0.75, 14: 0.75, 15: 0.5, 16: 0.5, 17: 0.75, 18: 0.75, 19: 0.75}",['https://www.diariodepontevedra.es/articulo/pontevedra/temporal-vuelve-golpear-dureza-marin/202310290852181276755.html'],A Coruna,3
11,Dana,2023-10-29,2023-11-03,"['Agua y Alimentos', 'Transporte', 'Energia']","{'Energia': 0.625, 'Transporte': 0.75, 'Agua y Alimentos': 0.8333333333333334}","{0: 0.75, 1: 0.75, 2: 0.5, 3: 0.5, 5: 0.6666666666666666, 6: 0.8333333333333334, 7: 0.8333333333333334, 8: 0.6666666666666666, 14: 0.5, 15: 1.0, 16: 1.0}","['https://www.aemet.es/en/noticias/2023/11/Avance-climatico-Nacional-octubre-2023', 'https://www.cope.es/emisoras/galicia/noticias/asi-afectar-borrasca-domingos-galicia-olas-hasta-metros-este-sabado-20231103_2981711', 'https://www.larazon.es/el-tiempo/borrasca-ciaran-directo-ultima-hora-zonas-espana-afectadas-temporal-lluvia-viento-nieve_202311036544ade8f6ca72000147fd57.html', 'https://aemetblog.es/2023/10/30/informe-operativo-semanal-del-16-al-22-de-octubre-de-2023/']",A Coruna,3
12,Inundacion,2023-11-07,2023-11-15,"['Aguas Residuales', 'Agua y Alimentos', 'Transporte', 'Infraestructura digital']","{'Transporte': 0.484375, 'Aguas Residuales': 0.6764705882352942, 'Infraestructura digital': 0.4318181818181818, 'Agua y Alimentos': 0.75}","{6: 0.5833333333333334, 7: 0.5625, 8: 0.8125, 5: 0.5, 17: 0.5, 18: 0.75, 19: 0.75, 20: 0.5, 21: 0.75, 22: 0.5, 24: 0.75, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.lavozdegalicia.es/noticia/galicia/2023/11/14/fuertes-lluvias-dejan-doscientas-incidencias-galicia/00031699957402603811358.htm', 'https://www.galiciapress.es/articulo/sociedad/2023-11-14/4533615-temporal-descarrila-tren-ferrol-ribadeo-e-inunda-neda-pero-remite-no-habra-alertas', 'https://www.publico.es/sociedad/servicios-emergencia-gestionan-220-incidencias-inundaciones-galicia.html', 'https://www.elidealgallego.com/articulo/galicia/inundaciones-desbordamientos-toda-galicia-causa-temporal-4533073', 'https://www.elconfidencial.com/espana/galicia/2023-11-17/a-coruna-fin-de-semana-conciertos-actividades_3774494/', 'https://www.galiciapress.es/articulo/ferrol/2023-11-14/4533006-preocupacion-varias-localidades-gallegas-crecida-rios-inundaciones-casas-proximas']",A Coruna,4
13,Desbordamientos,2023-11-07,2023-11-15,"['Agua y Alimentos', 'Transporte', 'Infraestructura digital']","{'Transporte': 0.45, 'Agua y Alimentos': 0.7222222222222222, 'Infraestructura digital': 0.8181818181818182}","{5: 0.125, 6: 0.45, 7: 0.5, 8: 0.8, 14: 0.75, 15: 0.6666666666666666, 16: 0.75, 20: 0.75, 21: 1.0, 22: 1.0, 23: 0.75, 24: 0.25}","['https://www.lavozdegalicia.es/noticia/galicia/2023/11/14/fuertes-lluvias-dejan-doscientas-incidencias-galicia/00031699957402603811358.htm', 'https://www.galiciapress.es/articulo/ferrol/2023-11-14/4533006-preocupacion-varias-localidades-gallegas-crecida-rios-inundaciones-casas-proximas', 'https://www.publico.es/sociedad/servicios-emergencia-gestionan-220-incidencias-inundaciones-galicia.html', 'https://www.elidealgallego.com/articulo/galicia/inundaciones-desbordamientos-toda-galicia-causa-temporal-4533073', 'https://www.elconfidencial.com/espana/galicia/2023-11-17/a-coruna-fin-de-semana-conciertos-actividades_3774494/', 'https://www.elcorreogallego.es/concellos/2023/11/13/lluvia-supera-100-litros-metro-cuadrado-lousame-santa-comba-94582157.html', 'https://www.galiciapress.es/articulo/sociedad/2023-11-14/4533615-temporal-descarrila-tren-ferrol-ribadeo-e-inunda-neda-pero-remite-no-habra-alertas']",A Coruna,4
14,Crecida,2023-11-07,2023-11-15,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.46875, 'Agua y Alimentos': 0.8333333333333334}","{8: 0.875, 6: 1.0, 7: 1.0, 14: 1.0, 15: 0.75, 16: 0.75}","['https://www.galiciapress.es/articulo/ferrol/2023-11-14/4533006-preocupacion-varias-localidades-gallegas-crecida-rios-inundaciones-casas-proximas', 'https://www.elidealgallego.com/articulo/galicia/inundaciones-desbordamientos-toda-galicia-causa-temporal-4533073', 'https://www.galiciapress.es/articulo/sociedad/2023-11-14/4533615-temporal-descarrila-tren-ferrol-ribadeo-e-inunda-neda-pero-remite-no-habra-alertas', 'https://www.lavozdegalicia.es/noticia/sociedad/2023/11/14/riadas-tsunamis-rios-desbordados-racha-lluvia-galicia-record/00031699983771211124412.htm']",A Coruna,4
15,Inundacion,2023-09-04,2023-09-08,"['Transporte', 'Sanidad', 'Aguas Residuales']","{'Transporte': 0.4375, 'Sanidad': 0.7916666666666666, 'Aguas Residuales': 0.5735294117647058}","{5: 0.3125, 7: 0.3333333333333333, 8: 0.6875, 6: 0.6666666666666666, 10: 0.75, 11: 1.0, 12: 0.75, 13: 0.5, 17: 0.25, 18: 0.5, 19: 0.75}","['https://es-us.noticias.yahoo.com/deportes/lluvia-granizo-provocan-inundaciones-guadalajara-204721431.html', 'https://udgtv.com/noticias/mienten-autoridades-sobre-causas-de-inundacion-en-la-zmg/195652', 'https://www.aztecajalisco.com/azteca-noticias/mueren-dos-personas-atrapados-carro-inundacion', 'https://www.elfinanciero.com.mx/estados/2023/09/08/tormenta-en-zapopan-deja-dos-personas-sin-vida/', 'https://www.debate.com.mx/guadalajara/Ahogados-mueren-dos-adultos-mayores-dentro-de-su-auto-durante-inundacion-en-Zapopan-Jalisco-20230907-0254.html', 'https://www.eloccidental.com.mx/policiaca/tormenta-cobro-dos-vidas-en-zapopan-10662054.html', 'https://www.milenio.com/politica/comunidad/clima-jalisco-esperan-fuertes-lluvias-6-septiembre', 'https://www.informador.mx/Tormenta-en-Guadalajara-deja-2-muertos-en-tunel-suman-7-en-temporal-l202309080001.html', 'https://www.nmas.com.mx/nacional/adulto-mayor-y-enfermera-mueren-atrapados-en-auto-por-inundacion-en-jalisco/']",Guadalajara,85
16,Luvias Intensas,2023-09-04,2023-09-08,"['Transporte', 'Sanidad', 'Aguas Residuales']","{'Transporte': 0.5416666666666666, 'Sanidad': 0.9166666666666666, 'Aguas Residuales': 0.8235294117647058}","{5: 0.375, 8: 0.8333333333333334, 6: 0.875, 7: 0.75, 10: 1.0, 11: 1.0, 12: 0.75, 13: 0.75, 17: 0.5, 18: 0.75, 19: 1.0}","['https://www.zonadocs.mx/2024/07/11/temporal-de-lluvia-arrasa-con-decenas-de-arboles-en-zapopan/', 'https://www.adn40.mx/mexico/lluvias-en-zapopan-2-personas-murieron-ahogados-paso-a-desnivel', 'https://www.excelsior.com.mx/nacional/clima-mexico-hoy-6-septiembre-2023-lluvias-jova/1607204', 'https://www.tvazteca.com/aztecanoticias/clima-en-mexico-7-septiembre-huracan-jova-traera-lluvias-y-granizo']",Guadalajara,85
17,Desbordamientos,2023-09-04,2023-09-08,"['Transporte', 'Sanidad', 'Aguas Residuales']","{'Transporte': 0.3958333333333333, 'Sanidad': 0.7916666666666666, 'Aguas Residuales': 0.5}","{5: 0.625, 6: 0.5, 7: 0.625, 8: 0.5833333333333334, 10: 0.75, 11: 1.0, 12: 0.75, 13: 0.5, 17: 0.0, 18: 0.5, 19: 0.75}","['https://www.elfinanciero.com.mx/estados/2023/09/08/tormenta-en-zapopan-deja-dos-personas-sin-vida/', 'https://www.informador.mx/Lluvias-en-Guadalajara-Fracasan-las-medidas-para-prevenir-muertes-por-inundaciones-l202309090001.html', 'https://www.debate.com.mx/guadalajara/Ahogados-mueren-dos-adultos-mayores-dentro-de-su-auto-durante-inundacion-en-Zapopan-Jalisco-20230907-0254.html', 'https://aristeguinoticias.com/0809/mexico/zapopan-mueren-2-personas-luego-de-que-su-vehiculo-se-inundo-en-paso-a-desnivel/']",Guadalajara,85
18,Crecida,2023-09-04,2023-09-08,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.6875, 'Agua y Alimentos': 0.7083333333333334}","{5: 0.875, 7: 0.75, 8: 0.9166666666666666, 14: 0.75, 15: 0.75, 16: 0.625, 6: 0.75}","['https://www.rtve.es/noticias/20230904/efectos-dana-ultima-hora-directo-madrid-toledo/2455085.shtml', 'https://www.huffingtonpost.es/news/dana?page=3', 'https://www.abc.es/sociedad/dana-espana-muertos-carreteras-cortadas-temporal-metro-madrid-toledo-castilla-lamancha-hoy-20230904122329-di.html']",Guadalajara,85
19,Dana,2023-09-04,2023-09-08,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.5416666666666666, 'Agua y Alimentos': 0.5833333333333334}","{5: 0.75, 6: 0.625, 8: 0.75, 7: 0.75, 14: 0.75, 15: 0.5, 16: 0.5}","['https://www.lacronica.net/41-incidencias-ha-dejado-la-dana-en-guadalajara-sobre-todo-en-el-corredor-del-henares/', 'https://www.antena3.com/noticias/el-tiempo/la-prevision/otra-dana-fin-semana-roberto-brasero-avisa-llegada-nuevas-lluvias-tormentas_2023091164ff37bd83dfa50001943ff2.html', 'https://www.huffingtonpost.es/news/dana?page=3', 'https://www.rtve.es/noticias/20230904/efectos-dana-ultima-hora-directo-madrid-toledo/2455085.shtml', 'https://nuevaalcarria.com/articulos/el-corredor-del-henares-es-la-zona-mas-afectada-por-la-dana-en-la-provincia-con-inundaciones-y-caida-de-arboles']",Guadalajara,85
20,Desbordamientos,2023-09-19,2023-09-26,"['Transporte', 'Sanidad', 'Agua y Alimentos']","{'Transporte': 0.578125, 'Sanidad': 0.625, 'Agua y Alimentos': 0.888888888888889}","{5: 0.3125, 6: 0.5, 7: 0.75, 8: 0.75, 10: 0.5, 11: 0.75, 12: 0.75, 13: 0.5, 14: 0.8333333333333334, 15: 1.0, 16: 0.8333333333333334}","['https://www.nmas.com.mx/guadalajara/arroyo-el-cangrejo-autlan-jalisco-desbordamiento-deja-7-muertos-25-septiembre-2023/', 'https://www.infobae.com/mexico/2023/09/26/suman-ocho-muertos-tras-desbordamiento-de-arroyo-en-autlan-de-navarro/', 'https://udgtv.com/noticias/no-es-comparable-la-inundacion-registrada-en-autlan-con-la/197624', 'https://jalisco.quadratin.com.mx/sucesos/lluvias-causan-el-desbordamiento-del-arroyo-el-jalocote-en-autlan/', 'https://www.eloccidental.com.mx/policiaca/confirma-proteccion-civil-jalisco-siete-muertos-por-el-desbordamiento-del-arroyo-el-cangrejo-10746127.html', 'https://cnnespanol.cnn.com/2023/09/25/desbordamiento-jalisco-muertos-mexico-orix', 'https://www.milenio.com/policia/autlan-navarro-desborda-arroyo-muerto-12-desaparecidos', 'https://traficozmg.com/2023/09/desbordamiento-de-un-arroyo-deja-siete-muertos-en-autlan/', 'https://www.yucatan.com.mx/mexico/2023/09/25/desbordamiento-del-arroyo-el-jalocote-en-autlan-jalisco-deja-al-menos-muertos-434624.html', 'https://jalisco.quadratin.com.mx/principal/lluvias-en-autlan-de-navarro-deja-al-menos-7-muertos-y-9-desaparecidos/']",Guadalajara,86
21,Crecida,2023-09-19,2023-09-26,"['Transporte', 'Sanidad', 'Agua y Alimentos', 'Finanzas']","{'Sanidad': 0.7916666666666666, 'Finanzas': 0.75, 'Agua y Alimentos': 0.8333333333333334, 'Transporte': 0.75}","{10: 0.75, 11: 0.75, 12: 0.75, 13: 1.0, 9: 0.75, 14: 0.75, 15: 1.0, 16: 0.75, 5: 0.75, 6: 0.75, 7: 1.0, 8: 0.5}","['https://www.telesurtv.net/news/-menos-siete-fallecidos-crecida-arroyo-jalisco-mexico-20230925-0038.html', 'https://tribunadelabahia.com.mx/suman-7-muertos-arroyo-autlan-navarro/', 'https://www.jornada.com.mx/noticia/2023/09/26/estados/continua-busqueda-de-tres-personas-tras-tormenta-en-autlan-jalisco-2953', 'https://www.latribunadeguadalajara.es/noticia/z2aba1b88-01c6-1e66-1dada6249488a8d6/202309/caritas-facilita-numeros-de-cuenta-en-apoyo-a-libia', 'https://www.yucatan.com.mx/mexico/2023/09/25/desbordamiento-del-arroyo-el-jalocote-en-autlan-jalisco-deja-al-menos-muertos-434624.html']",Guadalajara,86
22,Dana,2023-09-19,2023-09-26,['Agua y Alimentos'],{'Agua y Alimentos': 0.6666666666666666},"{14: 0.75, 15: 0.75, 16: 0.5}","['https://aemetblog.es/2023/09/24/informe-sobre-el-episodio-meteorologico-de-precipitaciones-intensas-ocasionado-por-una-dana-durante-los-dias-2-3-y-4-de-septiembre-de-2023/', 'https://www.latribunadeguadalajara.es/noticia/z33057c1f-a354-05a8-890e973c16568024/202309/la-aemet-no-descarta-que-clm-pueda-sufrir-otra-dana-este-otono']",Guadalajara,86
23,Inundacion,2023-10-20,2023-10-22,"['Transporte', 'Energia', 'Agua y Alimentos']","{'Energia': 0.625, 'Transporte': 0.8125, 'Agua y Alimentos': 0.7083333333333333}","{0: 0.75, 1: 0.75, 2: 0.25, 3: 0.75, 5: 0.75, 6: 0.875, 7: 0.75, 8: 0.875, 14: 0.75, 15: 0.625, 16: 0.75}","['https://www.elfinanciero.com.mx/estados/2023/10/22/tormenta-norma-en-sinaloa-abren-albergues-y-cierran-aeropuertos-en-el-estado/', 'https://www.abc.es/espana/madrid/alerta-roja-lluvias-madrid-directo-estado-carreteras-incidencias-metro-cercanias-20231019162135-di.html']",Guadalajara,87
24,Luvias Intensas,2023-10-20,2023-10-22,"['Transporte', 'Energia', 'Agua y Alimentos']","{'Transporte': 0.6875, 'Agua y Alimentos': 0.7916666666666667, 'Energia': 0.625}","{5: 0.5833333333333334, 6: 0.6666666666666666, 7: 0.6666666666666666, 8: 0.8333333333333334, 14: 0.875, 15: 0.75, 16: 0.75, 0: 0.75, 1: 0.75, 2: 0.25, 3: 0.75}","['https://www.marca.com/mx/actualidad/2023/10/25/6539346046163f23778b45bd.html', 'https://www.informador.mx/mexico/Huracan-Otis-traera-lluvias-torrenciales-para-estos-estados-hoy-24-de-octubre-20231024-0034.html', 'https://www.elfinanciero.com.mx/estados/2023/10/22/tormenta-norma-en-sinaloa-abren-albergues-y-cierran-aeropuertos-en-el-estado/']",Guadalajara,87
25,Dana,2023-10-20,2023-10-22,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.75, 'Agua y Alimentos': 0.8333333333333334}","{5: 0.5, 6: 0.75, 7: 1.0, 8: 0.75, 14: 0.75, 15: 1.0, 16: 0.75}","['https://www.marca.com/mx/actualidad/2023/10/21/653420fbca4741014e8b4589.html', 'https://www.eleconomista.com.mx/estados/Sequia-ocasionara-caida-de-produccion-y-alza-generalizada-en-precio-de-alimentos-CNA-20231024-0146.html']",Guadalajara,87
26,Inundacion,2023-12-02,2023-12-05,['Transporte'],{'Transporte': 0.2708333333333333},"{6: 0.25, 8: 0.75, 7: 0.375, 5: 0.0}","['https://www.infobae.com/mexico/2023/12/04/prediccion-del-estado-del-tiempo-en-guadalajara-para-este-4-de-diciembre/', 'https://www.debate.com.mx/guadalajara/VIDEO-FUERTES-LLUVIAS-dejan-inundaciones-y-autos-varados-en-Jalisco-20231207-0056.html', 'https://www.telediario.mx/comunidad/lluvia-guadalajara-inunda-paso-desnivel-avenida-washington', 'https://tribunadelabahia.com.mx/esta-lloviendo-diciembre-guadalajara/', 'https://www.informador.mx/jalisco/Clima-HOY-Guadalajara-por-que-esta-lloviendo-en-diciembre-20231209-0080.html', 'https://www.telediario.mx/comunidad/clima-en-guadalajara-diciembre-2023-cuando-dejara-de-llover', 'https://www.informador.mx/jalisco/Clima-hoy-Guadalajara-Lluvias-dejan-afectaciones-en-la-ciudad-estos-fueron-los-puntos-inundados-20231207-0053.html', 'https://www.informador.mx/jalisco/Clima-HOY-Guadalajara-Viene-el-frio-y-la-lluvia-esta-semana-a-la-ciudad-este-es-el-pronostico-20231211-0034.html']",Guadalajara,88
27,Luvias Intensas,2023-12-02,2023-12-05,"['Transporte', 'Agua y Alimentos']","{'Agua y Alimentos': 0.6666666666666666, 'Transporte': 0.25}","{14: 0.75, 15: 0.5, 16: 0.75, 6: 0.25, 8: 0.75}","['https://www.nmas.com.mx/nacional/clima/pronostico-del-clima-en-mexico-hoy-10-de-diciembre-de-2023-frio-y-lluvias/', 'https://www.informador.mx/jalisco/Clima-HOY-Cuando-volvera-a-llover-en-Guadalajara-20240827-0052.html', 'https://www.debate.com.mx/guadalajara/Sigue-el-frio-y-las-lluvias-Asi-sera-el-clima-en-el-AMG-y-todo-Jalisco-HOY-6-de-diciembre-20231206-0041.html', 'https://www.elfinanciero.com.mx/nacional/2023/12/06/pronostico-del-clima-hoy-en-mexico-frente-frio-13-efectos-6-de-diciembre-lluvias-torrenciales/', 'https://www.nmas.com.mx/nacional/clima/pronostico-del-clima-en-mexico-hoy-6-de-diciembre-de-2023-probabilidad-de-lluvias-y/', 'https://www.informador.mx/jalisco/Clima-HOY-Guadalajara-por-que-esta-lloviendo-en-diciembre-20231209-0080.html', 'https://www.debate.com.mx/guadalajara/Se-vuelve-a-esconder-el-sol-Jalisco-y-el-AMG-espera-climas-MUY-FRIOS-este-11-de-diciembre-20231210-0115.html', 'https://www.informador.mx/jalisco/Clima-HOY-Guadalajara-Seguira-lloviendo-Este-es-el-pronostico-del-lunes-4-de-diciembre-20231204-0030.html', 'https://www.debate.com.mx/guadalajara/VIDEO-FUERTES-LLUVIAS-dejan-inundaciones-y-autos-varados-en-Jalisco-20231207-0056.html', 'https://as.com/actualidad/ciencia/geminidas-2023-fechas-hora-como-ver-y-cuando-es-la-lluvia-de-estrellas-de-diciembre-n-2/', 'https://www.debate.com.mx/estados/FRENTE-FRIO-provoca-LLUVIAS-aguanieve-y-NIEVE-en-Mexico-HOY-Conagua-20231206-0051.html']",Guadalajara,88
28,Crecida,2023-12-02,2023-12-05,['Agua y Alimentos'],{'Agua y Alimentos': 0.4166666666666667},"{14: 0.25, 15: 0.75, 16: 0.25}",['https://www.guadalajaradiario.es/provincia/58869-crecida-del-henares-por-el-desembalse-de-belena.html'],Guadalajara,88
29,Dana,2023-12-02,2023-12-05,['Transporte'],{'Transporte': 0.3125},"{5: 0.25, 6: 0.25, 8: 0.75}","['https://www.newtral.es/tiempo-puente-diciembre-lluvia-calor/20231207/', 'https://chivaspasion.bolavip.com/femenil/y-licha-cervantes-las-convocadas-por-tano-spinelli-a-la-pretemporada-de-chivas-femenil-20231208-CHI-38100.html']",Guadalajara,88
30,Inundacion,2023-10-24,2023-10-31,"['Transporte', 'Sanidad', 'Agua y Alimentos']","{'Transporte': 0.5625, 'Agua y Alimentos': 0.625, 'Sanidad': 0.75}","{5: 0.5, 6: 0.625, 7: 0.75, 8: 0.625, 14: 0.625, 15: 0.75, 16: 0.5, 10: 0.75, 11: 0.75, 12: 1.0, 13: 0.5}","['https://www.elmundo.es/espana/2023/10/30/653f4cabe4d4d8a9328b4593.html', 'https://www.huelvainformacion.es/huelva/tiempo-Huelva-Tregua-lluvias-intensas_0_1843616656.html', 'https://www.huelvainformacion.es/provincia/Evacuados-inundacion-Palmares-San-Juan_0_1843615838.html', 'https://www.huelvainformacion.es/galerias_graficas/Imagenes-Juan-Puerto-Trigueros-Niebla_3_1843645629.html']",Huelva,89
31,Luvias Intensas,2023-10-24,2023-10-31,"['Transporte', 'Agua y Alimentos']","{'Agua y Alimentos': 0.5, 'Transporte': 0.5}","{14: 0.5, 15: 0.5, 16: 0.5, 5: 0.5, 6: 0.75, 7: 0.25, 8: 0.5}","['https://www.huelvainformacion.es/huelva/tiempo-Huelva-Tregua-lluvias-intensas_0_1843616656.html', 'https://www.elconfidencial.com/espana/2023-10-31/aemet-alerta-nueva-borrasca-ciaran-vientos-lluvias_3764475/', 'https://www.ideal.es/andalucia/chorro-polar-llega-andalucia-viento-lluvias-fuertas-20231026103331-nt.html']",Huelva,89
