id,link,sectors,severity,answers
11,https://metropolitano.gal/enfoque/la-borrasca-celine-deja-numerosas-incidencias-en-vigo-y-area-donde-se-espera-otra-semana-de-lluvia/,['Transporte'],{'Transporte': 0.4375},"{5: 0.75, 8: 1.0}"
12,https://www.elidealgallego.com/articulo/area-metropolitana/colapso-autopista-accidente-altura-barcala-4490748,['Transporte'],{'Transporte': 0.1875},{8: 0.75}
13,https://www.galiciapress.es/articulo/sociedad/2023-10-23/4485326-aviso-naranja-viento-mar-martes-toda-galicia-salvo-marina-estara-amarillo,[],{},{}
14,https://www.20minutos.es/noticia/5185878/0/varios-rescatados-huelva-tras-anegarse-sus-viviendas-por-lluvia/,"['Transporte', 'Sanidad']","{'Transporte': 0.25, 'Sanidad': 0.08333333333333333}","{8: 1.0, 11: 0.25}"
15,https://www.diariodepontevedra.es/articulo/pontevedra/temporal-vuelve-golpear-dureza-marin/202310290852181276755.html,"['Transporte', 'Aguas Residuales']","{'Transporte': 0.5625, 'Aguas Residuales': 0.7352941176470589}","{5: 0.25, 6: 1.0, 8: 1.0, 17: 1.0, 19: 0.75}"
16,https://www.lavozdegalicia.es/noticia/galicia/2023/10/26/galicia-registra-frente-lluvias-deja-balsas-agua-riadas-localizadas-inundaciones-crecidas-rios/00031698334986085205729.htm,['Transporte'],{'Transporte': 0.375},"{5: 0.5, 8: 1.0}"
17,https://elpais.com/espana/2023-10-20/otra-borrasca-azota-el-norte-de-espana-tras-el-paso-de-la-historica-aline.html,[],{},{}
18,https://aemetblog.es/2023/10/30/informe-operativo-semanal-del-16-al-22-de-octubre-de-2023/,[],{},{}
19,https://www.elespanol.com/quincemil/actualidad/galicia/20231030/celine-ciaran-llegaran-domingos-elisa-todas-tormentas-galicia-otono/805919944_0.html,[],{},{}
20,https://www.larazon.es/el-tiempo/temporal-espana-directo-alertas-ultima-hora-zonas-afectadas-borrasca-aline_20231020653216c4a1cbe00001722a03.html,['Transporte'],{'Transporte': 0.9375},"{5: 0.75, 6: 1.0, 7: 1.0, 8: 1.0}"
21,https://www.miteco.gob.es/es/prensa/ultimas-noticias/2023/11/octubre-de-2023--el-segundo-mas-calido-de-la-serie-historica-y-e.html,[],{},{}
22,https://www.elmundo.es/espana/2023/10/30/653f4cabe4d4d8a9328b4593.html,[],{},{}
23,https://www.galiciapress.es/articulo/sociedad/2023-10-31/4514252-alerta-roja-jueves-parte-costa-hilo-ciclogenesis-ciaran-estan-punto-golpear-galicia,[],{},{}
24,https://www.larazon.es/el-tiempo/borrasca-ciaran-directo-ultima-hora-zonas-espana-afectadas-temporal-lluvia-viento-nieve_202311036544ade8f6ca72000147fd57.html,"['Energia', 'Transporte']","{'Energia': 0.7142857142857143, 'Transporte': 1.0}","{0: 1.0, 1: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
25,https://www.cope.es/emisoras/galicia/noticias/asi-afectar-borrasca-domingos-galicia-olas-hasta-metros-este-sabado-20231103_2981711,['Transporte'],{'Transporte': 0.5},"{6: 1.0, 8: 1.0}"
26,https://www.laopinioncoruna.es/galicia/2023/11/07/pasado-octubre-segundo-mes-lluvioso-94293700.html,[],{},{}
27,https://www.aemet.es/en/noticias/2023/11/Avance-climatico-Nacional-octubre-2023,[],{},{}
28,https://www.lavozdegalicia.es/noticia/galicia/2023/11/14/fuertes-lluvias-dejan-doscientas-incidencias-galicia/00031699957402603811358.htm,[],{},{}
29,https://www.galiciapress.es/articulo/sociedad/2023-11-14/4533615-temporal-descarrila-tren-ferrol-ribadeo-e-inunda-neda-pero-remite-no-habra-alertas,['Transporte'],{'Transporte': 0.5},"{7: 1.0, 8: 1.0}"
30,https://www.publico.es/sociedad/servicios-emergencia-gestionan-220-incidencias-inundaciones-galicia.html,[],{},{}
31,https://www.elidealgallego.com/articulo/galicia/inundaciones-desbordamientos-toda-galicia-causa-temporal-4533073,['Transporte'],{'Transporte': 0.25},{8: 1.0}
32,https://www.elconfidencial.com/espana/galicia/2023-11-17/a-coruna-fin-de-semana-conciertos-actividades_3774494/,[],{},{}
33,https://www.galiciapress.es/articulo/ferrol/2023-11-14/4533006-preocupacion-varias-localidades-gallegas-crecida-rios-inundaciones-casas-proximas,[],{},{}
34,https://www.elcorreogallego.es/concellos/2023/11/13/lluvia-supera-100-litros-metro-cuadrado-lousame-santa-comba-94582157.html,[],{},{}
35,https://www.lavozdegalicia.es/noticia/sociedad/2023/11/14/riadas-tsunamis-rios-desbordados-racha-lluvia-galicia-record/00031699983771211124412.htm,[],{},{}
36,https://es-us.noticias.yahoo.com/deportes/lluvia-granizo-provocan-inundaciones-guadalajara-204721431.html,['Transporte'],{'Transporte': 0.25},{8: 1.0}
37,https://udgtv.com/noticias/mienten-autoridades-sobre-causas-de-inundacion-en-la-zmg/195652,[],{},{}
38,https://www.aztecajalisco.com/azteca-noticias/mueren-dos-personas-atrapados-carro-inundacion,[],{},{}
39,https://www.elfinanciero.com.mx/estados/2023/09/08/tormenta-en-zapopan-deja-dos-personas-sin-vida/,"['Energia', 'Transporte']","{'Energia': 0.11904761904761904, 'Transporte': 0.25}","{0: 0.25, 8: 1.0}"
40,https://www.debate.com.mx/guadalajara/Ahogados-mueren-dos-adultos-mayores-dentro-de-su-auto-durante-inundacion-en-Zapopan-Jalisco-20230907-0254.html,[],{},{}
41,https://www.eloccidental.com.mx/policiaca/tormenta-cobro-dos-vidas-en-zapopan-10662054.html,['Transporte'],{'Transporte': 0.25},{8: 1.0}
42,https://www.milenio.com/politica/comunidad/clima-jalisco-esperan-fuertes-lluvias-6-septiembre,[],{},{}
43,https://www.informador.mx/Tormenta-en-Guadalajara-deja-2-muertos-en-tunel-suman-7-en-temporal-l202309080001.html,"['Energia', 'Transporte']",{'Transporte': 0.25},{8: 1.0}
44,https://www.nmas.com.mx/nacional/adulto-mayor-y-enfermera-mueren-atrapados-en-auto-por-inundacion-en-jalisco/,[],{},{}
45,https://www.zonadocs.mx/2024/07/11/temporal-de-lluvia-arrasa-con-decenas-de-arboles-en-zapopan/,['Transporte'],{'Transporte': 0.25},{8: 1.0}
46,https://www.adn40.mx/mexico/lluvias-en-zapopan-2-personas-murieron-ahogados-paso-a-desnivel,[],{},{}
47,https://www.excelsior.com.mx/nacional/clima-mexico-hoy-6-septiembre-2023-lluvias-jova/1607204,[],{},{}
48,https://www.tvazteca.com/aztecanoticias/clima-en-mexico-7-septiembre-huracan-jova-traera-lluvias-y-granizo,[],{},{}
49,https://www.informador.mx/Lluvias-en-Guadalajara-Fracasan-las-medidas-para-prevenir-muertes-por-inundaciones-l202309090001.html,['Transporte'],{'Transporte': 0.25},{8: 1.0}
50,https://aristeguinoticias.com/0809/mexico/zapopan-mueren-2-personas-luego-de-que-su-vehiculo-se-inundo-en-paso-a-desnivel/,[],{},{}
51,https://www.rtve.es/noticias/20230904/efectos-dana-ultima-hora-directo-madrid-toledo/2455085.shtml,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.5, 'Agua y Alimentos': 0.6666666666666666}","{7: 1.0, 8: 1.0, 14: 1.0, 15: 1.0}"
52,https://www.huffingtonpost.es/news/dana?page=3,[],{},{}
53,https://www.abc.es/sociedad/dana-espana-muertos-carreteras-cortadas-temporal-metro-madrid-toledo-castilla-lamancha-hoy-20230904122329-di.html,['Transporte'],{'Transporte': 0.25},"{7: 0.0, 8: 1.0}"
54,https://www.lacronica.net/41-incidencias-ha-dejado-la-dana-en-guadalajara-sobre-todo-en-el-corredor-del-henares/,[],{},{}
55,https://www.antena3.com/noticias/el-tiempo/la-prevision/otra-dana-fin-semana-roberto-brasero-avisa-llegada-nuevas-lluvias-tormentas_2023091164ff37bd83dfa50001943ff2.html,[],{},{}
56,https://nuevaalcarria.com/articulos/el-corredor-del-henares-es-la-zona-mas-afectada-por-la-dana-en-la-provincia-con-inundaciones-y-caida-de-arboles,[],{},{}
57,https://www.nmas.com.mx/guadalajara/arroyo-el-cangrejo-autlan-jalisco-desbordamiento-deja-7-muertos-25-septiembre-2023/,[],{},{}
58,https://www.infobae.com/mexico/2023/09/26/suman-ocho-muertos-tras-desbordamiento-de-arroyo-en-autlan-de-navarro/,"['Transporte', 'Sanidad']",{'Transporte': 0.1875},{8: 0.75}
59,https://udgtv.com/noticias/no-es-comparable-la-inundacion-registrada-en-autlan-con-la/197624,[],{},{}
60,https://jalisco.quadratin.com.mx/sucesos/lluvias-causan-el-desbordamiento-del-arroyo-el-jalocote-en-autlan/,['Transporte'],{'Transporte': 0.25},{8: 1.0}
61,https://www.eloccidental.com.mx/policiaca/confirma-proteccion-civil-jalisco-siete-muertos-por-el-desbordamiento-del-arroyo-el-cangrejo-10746127.html,[],{},{}
62,https://cnnespanol.cnn.com/2023/09/25/desbordamiento-jalisco-muertos-mexico-orix,[],{},{}
63,https://www.milenio.com/policia/autlan-navarro-desborda-arroyo-muerto-12-desaparecidos,[],{},{}
64,https://traficozmg.com/2023/09/desbordamiento-de-un-arroyo-deja-siete-muertos-en-autlan/,[],{},{}
65,https://www.yucatan.com.mx/mexico/2023/09/25/desbordamiento-del-arroyo-el-jalocote-en-autlan-jalisco-deja-al-menos-muertos-434624.html,[],{},{}
66,https://jalisco.quadratin.com.mx/principal/lluvias-en-autlan-de-navarro-deja-al-menos-7-muertos-y-9-desaparecidos/,['Transporte'],{'Transporte': 0.25},{8: 1.0}
67,https://www.telesurtv.net/news/-menos-siete-fallecidos-crecida-arroyo-jalisco-mexico-20230925-0038.html,['Sanidad'],{},{}
68,https://tribunadelabahia.com.mx/suman-7-muertos-arroyo-autlan-navarro/,[],{},{}
69,https://www.jornada.com.mx/noticia/2023/09/26/estados/continua-busqueda-de-tres-personas-tras-tormenta-en-autlan-jalisco-2953,[],{},{}
70,https://www.latribunadeguadalajara.es/noticia/z2aba1b88-01c6-1e66-1dada6249488a8d6/202309/caritas-facilita-numeros-de-cuenta-en-apoyo-a-libia,[],{},{}
71,https://aemetblog.es/2023/09/24/informe-sobre-el-episodio-meteorologico-de-precipitaciones-intensas-ocasionado-por-una-dana-durante-los-dias-2-3-y-4-de-septiembre-de-2023/,[],{},{}
72,https://www.latribunadeguadalajara.es/noticia/z33057c1f-a354-05a8-890e973c16568024/202309/la-aemet-no-descarta-que-clm-pueda-sufrir-otra-dana-este-otono,[],{},{}
73,https://www.elfinanciero.com.mx/estados/2023/10/22/tormenta-norma-en-sinaloa-abren-albergues-y-cierran-aeropuertos-en-el-estado/,"['Energia', 'Transporte']","{'Energia': 0.5952380952380952, 'Transporte': 0.75}","{0: 0.75, 1: 1.0, 5: 1.0, 6: 1.0, 8: 1.0}"
74,https://www.marca.com/mx/actualidad/2023/10/25/6539346046163f23778b45bd.html,[],{},{}
75,https://www.informador.mx/mexico/Huracan-Otis-traera-lluvias-torrenciales-para-estos-estados-hoy-24-de-octubre-20231024-0034.html,[],{},{}
76,https://www.marca.com/mx/actualidad/2023/10/21/653420fbca4741014e8b4589.html,[],{},{}
77,https://www.eleconomista.com.mx/estados/Sequia-ocasionara-caida-de-produccion-y-alza-generalizada-en-precio-de-alimentos-CNA-20231024-0146.html,['Agua y Alimentos'],{'Agua y Alimentos': 0.6666666666666666},"{14: 1.0, 16: 1.0}"
78,https://www.infobae.com/mexico/2023/12/04/prediccion-del-estado-del-tiempo-en-guadalajara-para-este-4-de-diciembre/,['Agua y Alimentos'],{'Agua y Alimentos': 0.6666666666666666},"{14: 1.0, 16: 1.0}"
79,https://www.debate.com.mx/guadalajara/VIDEO-FUERTES-LLUVIAS-dejan-inundaciones-y-autos-varados-en-Jalisco-20231207-0056.html,[],{},{}
80,https://www.telediario.mx/comunidad/lluvia-guadalajara-inunda-paso-desnivel-avenida-washington,[],{},{}
81,https://tribunadelabahia.com.mx/esta-lloviendo-diciembre-guadalajara/,[],{},{}
82,https://www.informador.mx/jalisco/Clima-HOY-Guadalajara-por-que-esta-lloviendo-en-diciembre-20231209-0080.html,[],{},{}
83,https://www.telediario.mx/comunidad/clima-en-guadalajara-diciembre-2023-cuando-dejara-de-llover,[],{},{}
84,https://www.informador.mx/jalisco/Clima-hoy-Guadalajara-Lluvias-dejan-afectaciones-en-la-ciudad-estos-fueron-los-puntos-inundados-20231207-0053.html,['Transporte'],{'Transporte': 0.1875},{8: 0.75}
85,https://www.informador.mx/jalisco/Clima-HOY-Guadalajara-Viene-el-frio-y-la-lluvia-esta-semana-a-la-ciudad-este-es-el-pronostico-20231211-0034.html,[],{},{}
86,https://www.nmas.com.mx/nacional/clima/pronostico-del-clima-en-mexico-hoy-10-de-diciembre-de-2023-frio-y-lluvias/,[],{},{}
87,https://www.informador.mx/jalisco/Clima-HOY-Cuando-volvera-a-llover-en-Guadalajara-20240827-0052.html,[],{},{}
88,https://www.debate.com.mx/guadalajara/Sigue-el-frio-y-las-lluvias-Asi-sera-el-clima-en-el-AMG-y-todo-Jalisco-HOY-6-de-diciembre-20231206-0041.html,[],{},{}
89,https://www.elfinanciero.com.mx/nacional/2023/12/06/pronostico-del-clima-hoy-en-mexico-frente-frio-13-efectos-6-de-diciembre-lluvias-torrenciales/,[],{},{}
90,https://www.nmas.com.mx/nacional/clima/pronostico-del-clima-en-mexico-hoy-6-de-diciembre-de-2023-probabilidad-de-lluvias-y/,[],{},{}
91,https://www.debate.com.mx/guadalajara/Se-vuelve-a-esconder-el-sol-Jalisco-y-el-AMG-espera-climas-MUY-FRIOS-este-11-de-diciembre-20231210-0115.html,[],{},{}
92,https://www.informador.mx/jalisco/Clima-HOY-Guadalajara-Seguira-lloviendo-Este-es-el-pronostico-del-lunes-4-de-diciembre-20231204-0030.html,[],{},{}
93,https://as.com/actualidad/ciencia/geminidas-2023-fechas-hora-como-ver-y-cuando-es-la-lluvia-de-estrellas-de-diciembre-n-2/,[],{},{}
94,https://www.debate.com.mx/estados/FRENTE-FRIO-provoca-LLUVIAS-aguanieve-y-NIEVE-en-Mexico-HOY-Conagua-20231206-0051.html,[],{},{}
95,https://www.guadalajaradiario.es/provincia/58869-crecida-del-henares-por-el-desembalse-de-belena.html,[],{},{}
96,https://www.newtral.es/tiempo-puente-diciembre-lluvia-calor/20231207/,[],{},{}
97,https://chivaspasion.bolavip.com/femenil/y-licha-cervantes-las-convocadas-por-tano-spinelli-a-la-pretemporada-de-chivas-femenil-20231208-CHI-38100.html,[],{},{}
98,https://www.huelvainformacion.es/huelva/tiempo-Huelva-Tregua-lluvias-intensas_0_1843616656.html,[],{},{}
99,https://www.huelvainformacion.es/provincia/Evacuados-inundacion-Palmares-San-Juan_0_1843615838.html,"['Transporte', 'Sanidad']",{'Transporte': 0.4375},"{7: 0.75, 8: 1.0}"
100,https://www.huelvainformacion.es/galerias_graficas/Imagenes-Juan-Puerto-Trigueros-Niebla_3_1843645629.html,[],{},{}
101,https://www.elconfidencial.com/espana/2023-10-31/aemet-alerta-nueva-borrasca-ciaran-vientos-lluvias_3764475/,[],{},{}
102,https://www.ideal.es/andalucia/chorro-polar-llega-andalucia-viento-lluvias-fuertas-20231026103331-nt.html,[],{},{}
103,https://www.huelvainformacion.es/provincia/Aumenta-Rio-Tinto-precipitaciones-Huelva-video_0_1888911611.html,['Transporte'],{'Transporte': 0.25},{8: 1.0}
104,https://www.elmundo.es/andalucia/2023/10/30/653ffa4dfdddffdd5f8b45c1.html,"['Transporte', 'Sanidad']","{'Transporte': 0.5, 'Sanidad': 0.08333333333333333}","{7: 1.0, 8: 1.0, 10: 0.0, 11: 0.25}"
105,https://www.diariodehuelva.es/articulo/area-metropolitana/aemet-concluye-que/20231106203004310647.html,['Transporte'],{'Transporte': 0.6875},"{5: 1.0, 6: 1.0, 8: 0.75}"
106,https://elpais.com/espana/2023-10-25/las-borrascas-aline-y-bernard-dejan-casi-cuatro-veces-mas-agua-de-la-que-suele-caer-estos-dias-de-octubre.html,[],{},{}
107,https://www.huelvainformacion.es/huelva/noticias-destacadas-sabado-octubre-Huelva_0_1843016658.html,[],{},{}
108,https://www.huelvainformacion.es/huelva/Octubre-Recuerdas-fuerte-temporal-viento_0_1842717419.html,[],{},{}
109,https://www.heraldo.es/noticias/nacional/2023/05/27/pronostico-meteorologico-jornada-electoral-28-m-lluvias-1654559.html,[],{},{}
110,https://www.antena3.com/noticias/el-tiempo/actualidad/ultima-hora-dana-directo-varias-comunidades-alerta-fuertes-lluvias_20230526647050b2910a1b0001dfd51a.html,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.25, 'Agua y Alimentos': 0.6666666666666666}","{8: 1.0, 14: 1.0, 16: 1.0}"
111,https://blogs.diariosur.es/tormentas-y-rayos/2023/11/05/efemerides-de-noviembre-y-valores-extremos-en-malaga-aeropuerto/,[],{},{}
112,https://www.abc.es/sociedad/directo-ultima-hora-invidencias-avisos-aemet-paso-20231102080248-di.html,[],{},{}
113,https://www.20minutos.es/minuteca/inundaciones/5/,[],{},{}
114,https://www.laopiniondemurcia.es/comunidad/2023/09/25/gobierno-declara-region-murcia-zona-92532090.html,"['Energia', 'Transporte']","{'Energia': 0.23809523809523808, 'Transporte': 0.4375}","{0: 0.5, 7: 0.75, 8: 1.0}"
115,https://cadenaser.com/castillalamancha/2023/09/25/declarada-la-zona-catastrofica-para-diversos-municipios-de-castilla-la-mancha-la-mayoria-en-la-provincia-de-toledo-ser-toledo/,['Transporte'],{'Transporte': 0.4375},"{7: 0.75, 8: 1.0}"
116,https://www.interior.gob.es/opencms/es/detalle/articulo/El-Gobierno-declara-zona-catastrofica-y-aprueba-ayudas-para-los-afectados-por-las-DANA-de-septiembre/,"['Energia', 'Transporte']","{'Energia': 0.5952380952380952, 'Transporte': 0.4375}","{0: 0.75, 1: 1.0, 7: 0.75, 8: 1.0}"
117,https://aemetblog.es/2023/02/01/informe-operativo-semanal-semana-del-16-al-22-de-enero-de-2023/,[],{},{}
118,https://www.europapress.es/illes-balears/noticia-enero-fue-mes-normal-baleares-partes-diferenciadas-temperaturas-encima-debajo-media-20230203143419.html,[],{},{}
119,https://www.antena3.com/noticias/el-tiempo/actualidad/paso-borrasca-juliette-directo-frio-artico-nieve-varias-comunidades-riesgo_2023022863fdb09faf4bff00016eb340.html,"['Energia', 'Transporte']","{'Energia': 0.47619047619047616, 'Transporte': 0.5}","{0: 1.0, 6: 1.0, 8: 1.0}"
120,https://www.elnacional.cat/es/sociedad/borrasca-juliette-provoca-caos-mallorca-nieve-inundaciones-cortes-luz_979098_102.html,"['Energia', 'Transporte']","{'Energia': 0.5357142857142857, 'Transporte': 0.75}","{0: 0.75, 1: 0.75, 5: 1.0, 6: 1.0, 8: 1.0}"
121,https://www.menorca.info/menorca/local/2023/03/06/1894273/febrero-menorca-mas-frio-mas-lluvioso-normal.html,[],{},{}
122,https://www.europapress.es/illes-balears/noticia-febrero-fue-mes-frio-baleares-temperatura-media-98c-226-mas-lluvia-juliette-20230306171903.html,"['Energia', 'Transporte']","{'Energia': 0.7142857142857143, 'Transporte': 0.5625}","{0: 1.0, 1: 1.0, 5: 0.25, 6: 1.0, 8: 1.0}"
123,https://www.cronicabalear.es/2023/se-derrumba-el-techo-de-un-edificio-de-la-uib-por-el-fuerte-temporal/,[],{},{}
124,https://www.ultimahora.es/noticias/local/2023/02/28/1890767/tiempo-mallorca-diecinueve-records-lluvia-solo-dia.html,[],{},{}
125,https://tirant.com/actualidad-juridica/noticia-despido-nulo-por-incapacidad-temporal-en-periodo-de-prueba/,[],{},{}
126,https://www.ultimahora.es/noticias/local/2023/08/27/2001873/tiempo-mallorca-temporal-sacude-isla.html,"['Transporte', 'Sanidad']","{'Transporte': 0.75, 'Sanidad': 0.16666666666666666}","{5: 1.0, 6: 1.0, 8: 1.0, 11: 0.5}"
127,https://www.ultimahora.es/noticias/local/2023/08/27/2001925/caos-aeropuestos-decenas-vuelos-anulados-retrasados.html,"['Energia', 'Transporte']","{'Energia': 0.35714285714285715, 'Transporte': 0.25}","{0: 0.5, 1: 0.5, 5: 1.0, 7: 0.0}"
128,https://www.elnacional.cat/es/sociedad/temporal-causa-estragos-mallorca-videos_1083465_102.html,"['Energia', 'Transporte']","{'Energia': 0.4166666666666667, 'Transporte': 0.6875}","{0: 0.5, 1: 0.75, 6: 1.0, 7: 0.75, 8: 1.0}"
129,https://www.periodicodeibiza.es/pitiusas/ibiza/2023/08/27/2001613/tiempo-ibiza-formentera-borrasca-betty.html,"['Energia', 'Transporte', 'Aguas Residuales']","{'Energia': 0.5952380952380952, 'Transporte': 0.25, 'Aguas Residuales': 1.0}","{0: 0.75, 1: 1.0, 8: 1.0, 17: 1.0, 18: 1.0, 19: 1.0}"
130,https://www.publico.es/sociedad/buque-750-pasajeros-salio-valencia-colisiona-muelle-ibiza-causa-borrasca-betty.html,['Transporte'],{'Transporte': 0.75},"{5: 1.0, 6: 1.0, 8: 1.0}"
131,https://www.ultimahora.es/sucesos/ultimas/2023/08/28/2002135/tiempo-mallorca-borrasca-betty-provoca-429-incidencias.html,['Transporte'],{'Transporte': 0.4375},"{7: 0.75, 8: 1.0}"
132,https://www.menorca.info/menorca/local/2023/08/29/2002775/tiempo-menorca-dana-afectara-isla.html,[],{},{}
133,https://www.ultimahora.es/noticias/local/2023/08/29/2002715/tiempo-mallorca-dana-afectara-isla.html,[],{},{}
134,https://www.ultimahora.es/noticias/local/2023/08/27/2001615/tiempo-mallorca-impresionante-tormenta-fuertes-rachas-viento-sur.html,"['Energia', 'Transporte']","{'Energia': 0.5357142857142857, 'Transporte': 0.375}","{0: 0.75, 1: 0.75, 5: 0.75, 8: 0.75}"
135,https://www.elmundo.es/baleares/2023/08/28/64ec35ad21efa0d1338b4576.html,['Transporte'],{'Transporte': 0.9375},"{5: 1.0, 6: 1.0, 7: 0.75, 8: 1.0}"
136,https://www.lavanguardia.com/local/sevilla/20230915/9230239/inundaciones-rios-desbordados-carreteras-cortadas-andalucia-central-tormentas.html,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.25, 'Agua y Alimentos': 0.5833333333333334}","{8: 1.0, 14: 0.75, 15: 1.0}"
137,https://www.canalsur.es/noticias/andalucia/rios-de-agua-por-las-calles-de-sierra-de-yeguas-alcala-la-real-o-constantina/1964172.html,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.5, 'Agua y Alimentos': 1.0}","{7: 1.0, 8: 1.0, 14: 1.0, 15: 1.0, 16: 1.0}"
138,https://lacontradejaen.eldiario.es/otra-semana-con-avisos-por-lluvias-jaen/,['Agua y Alimentos'],{'Agua y Alimentos': 0.4166666666666667},"{14: 0.75, 16: 0.5}"
139,https://www.canalsur.es/noticias/andalucia/tormentas-y-desbordamientos-de-rios-en-jaen-donde-alcala-la-real-es-la-poblacion-mas-afectada/1963993.html,['Transporte'],{'Transporte': 0.1875},{8: 0.75}
140,https://www.diariodesevilla.es/provincia/Constantina-inunda-espectacular-tormenta-media-hora-video_0_1830117183.html,[],{},{}
141,https://www.larazon.es/el-tiempo/aemet-emite-comunicado-urgente-dana-chubascos-tormentas-muy-fuertes-granizo-amplias-zonas-espana_2024082766cdcb17ddf3680001af86f4.html,[],{},{}
142,https://www.ideal.es/jaen/jaen/danos-olivar-sierra-sur-jaen-fuerte-temporal-20230915183111-nt.html,[],{},{}
143,https://www.canalsur.es/noticias/andalucia/jaen/el-granizo-causa-danos-en-los-olivares-de-la-sierra-sur-jiennense/1964267.html,['Agua y Alimentos'],{'Agua y Alimentos': 0.6666666666666666},"{14: 1.0, 16: 1.0}"
144,https://www.diariodesevilla.es/andalucia/Balance-efectos-tormentas-septiembre-Andalucia_0_1830117363.html,[],{},{}
145,https://extrajaen.com/actualidad/el-granizo-causa-estragos-en-pozo-alcon,[],{},{}
146,https://www.canalsur.es/noticias/andalucia/jaen/quince-minutos-de-caos-por-una-fuerte-granizada-en-pozo-alcon/1965560.html,['Agua y Alimentos'],{'Agua y Alimentos': 0.6666666666666666},"{14: 1.0, 16: 1.0}"
147,https://www.ideal.es/culturas/jaen/premio-pintura-rafael-zabaleta-quesada-marcha-rioja-20230716130246-nt.html,[],{},{}
148,https://www.ellitoral.com/nacionales/operativo-rescate-joven-perdido-parque-nacional-rioja-gendarmeria_0_EPpuTWwjzH.html,[],{},{}
149,https://www.eltiempo.es/noticias/la-vendimia-de-la-sequia-y-las-inundaciones-como-sera-la-temporada,[],{},{}
150,https://mendozatoday.com.ar/2023/11/10/bajo-el-zonda-al-llano-y-hay-alerta-amarilla/,[],{},{}
151,https://www.aemet.es/en/conocermas/borrascas/2023-2024/estudios_e_impactos/domingos,[],{},{}
152,https://www.rtve.es/noticias/20231105/borrasca-domingos-5-noviembre-2023-riesgo-peninsula/2460055.shtml,[],{},{}
153,https://www.larioja.com/la-rioja/borrasca-despide-incidencias-logrono-villamediana-najera-20231106214200-nt.html,[],{},{}
154,https://www.epe.es/es/espana/20231105/borrasca-domingos-espana-peninsula-alerta-vientos-lluvias-directo-94109465,[],{},{}
155,https://www.canarias7.es/canarias/balsa-agua-obliga-cerrar-acceso-subterraneo-perez-20231212205426-nt.html,['Transporte'],{'Transporte': 0.125},{8: 0.5}
156,https://www.canarias7.es/canarias/fuerteventura/fotografia-gavia-fuerteventura-ganadora-concurso-onu-20231207085651-nt.html,[],{},{}
157,https://www.eluniverso.com/noticias/ecuador/unas-60-comunidades-rurales-y-12-barrios-de-muisne-en-emergencia-por-desbordamientos-de-rios-nota/,"['Energia', 'Transporte', 'Sanidad', 'Agua y Alimentos', 'Aguas Residuales']","{'Energia': 0.5357142857142857, 'Transporte': 0.25, 'Sanidad': 0.25, 'Agua y Alimentos': 1.0, 'Aguas Residuales': 1.0}","{0: 0.75, 1: 0.75, 8: 1.0, 10: 0.75, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0}"
